clist[00] = c02c  TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
clist[01] = c030  TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384
clist[02] = c0ad  TLS_ECDHE_ECDSA_WITH_AES_256_CCM
clist[03] = c024  TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384
clist[04] = c028  TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384
clist[05] = c00a  TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA
clist[06] = c014  TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA
clist[07] = c0af  TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8
clist[08] = c05d  TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384
clist[09] = c061  TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384
clist[10] = c049  TLS_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384
clist[11] = c04d  TLS_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384
clist[12] = c02b  TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
clist[13] = c02f  TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
clist[14] = c0ac  TLS_ECDHE_ECDSA_WITH_AES_128_CCM
clist[15] = c023  TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256
clist[16] = c027  TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256
clist[17] = c009  TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA
clist[18] = c013  TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA
clist[19] = c0ae  TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8
clist[20] = c05c  TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256
clist[21] = c060  TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256
clist[22] = c048  TLS_ECDHE_ECDSA_WITH_ARIA_128_CBC_SHA256
clist[23] = c04c  TLS_ECDHE_RSA_WITH_ARIA_128_CBC_SHA256
clist[24] = 009d  TLS_RSA_WITH_AES_256_GCM_SHA384
clist[25] = c09d  TLS_RSA_WITH_AES_256_CCM
clist[26] = 003d  TLS_RSA_WITH_AES_256_CBC_SHA256
clist[27] = 0035  TLS_RSA_WITH_AES_256_CBC_SHA
clist[28] = c032  TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384
clist[29] = c02a  TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384
clist[30] = c00f  TLS_ECDH_RSA_WITH_AES_256_CBC_SHA
clist[31] = c02e  TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384
clist[32] = c026  TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384
clist[33] = c005  TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA
clist[34] = c0a1  TLS_RSA_WITH_AES_256_CCM_8
clist[35] = c05f  TLS_ECDH_ECDSA_WITH_ARIA_256_GCM_SHA384
clist[36] = c063  TLS_ECDH_RSA_WITH_ARIA_256_GCM_SHA384
clist[37] = c051  TLS_RSA_WITH_ARIA_256_GCM_SHA384
clist[38] = c04b  TLS_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384
clist[39] = c04f  TLS_ECDH_RSA_WITH_ARIA_256_CBC_SHA384
clist[40] = c03d  TLS_RSA_WITH_ARIA_256_CBC_SHA384
clist[41] = 009c  TLS_RSA_WITH_AES_128_GCM_SHA256
clist[42] = c09c  TLS_RSA_WITH_AES_128_CCM
clist[43] = 003c  TLS_RSA_WITH_AES_128_CBC_SHA256
clist[44] = 002f  TLS_RSA_WITH_AES_128_CBC_SHA
clist[45] = c031  TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256
clist[46] = c029  TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256
clist[47] = c00e  TLS_ECDH_RSA_WITH_AES_128_CBC_SHA
clist[48] = c02d  TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256
clist[49] = c025  TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256
clist[50] = c004  TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA
clist[51] = c0a0  TLS_RSA_WITH_AES_128_CCM_8
clist[52] = c05e  TLS_ECDH_ECDSA_WITH_ARIA_128_GCM_SHA256
clist[53] = c062  TLS_ECDH_RSA_WITH_ARIA_128_GCM_SHA256
clist[54] = c050  TLS_RSA_WITH_ARIA_128_GCM_SHA256
clist[55] = c04a  TLS_ECDH_ECDSA_WITH_ARIA_128_CBC_SHA256
clist[56] = c04e  TLS_ECDH_RSA_WITH_ARIA_128_CBC_SHA256
clist[57] = c03c  TLS_RSA_WITH_ARIA_128_CBC_SHA256
